C1,C4,T3_,T4_,T5_,S1_,S2_,S3_,C3_,C5_,C6_,Imputed_C7,I1,I2,C3_,Imputed_C2,Imputed_C7,Y1,Y2
4.553876891600541,0.055379929,2.4728845468672502,0.7111111111111111,0.06082373443277936,-5.278412233998373,-4.757636279379214,0.011518680664768138,0,1.16746977691709,0.0,293.605,CATM,CARDTRONICS INC,0,1.0,293.605,1,0
5.365976015021851,0.033823206,2.4760120721075394,0.6160220994475138,0.049492002816618044,-5.143979887665726,-4.847714071522553,0.015390805753948295,1,1.685007287978308,2.4264275032025866,98.939,PRLB,Proto Labs Inc ,1,1.0,98.939,0,1
3.6375861597263857,0.029256701,2.5045912153414376,0.6666666666666666,0.049263450042698546,-5.128671884525165,-4.247215105326642,0.013983774551665244,1,0.8522990980292089,2.8655216231663623,608.16,ARII,"American Railcar Industries, Inc. ",1,1.0,608.16,0,1
4.532599493153256,0.008953658,2.4779116046997878,0.6080402010050251,0.057430209606165995,-5.3019898599642445,-4.877832618843927,0.009211392048124824,0,1.426659244635373,0.0,27.499000000000002,OMRI,"Omrix Biopharmaceuticals, Inc.",0,1.0,27.499000000000002,1,1
5.159055299214529,-0.040172848,2.467733671028823,0.5724907063197026,0.05245712638708748,-5.900473971733108,-4.568246831883494,0.0135466205505116,0,1.1822861189063576,0.0,500.45996229508194,ETRM,EnteroMedics Inc ,0,1.0,500.45996229508194,1,1
5.236441962829949,0.0033405859999999996,2.558293412556964,0.668,0.050206124852767965,-5.26815266650177,-4.9114777225630375,0.017520612485276796,0,1.8230120127321594,0.0,500.45996229508194,BIOF,"Green Brick Partners, Inc.",0,1.0,500.45996229508194,1,1
5.5254529391317835,-0.019102443,2.453423939434531,0.6549912434325744,0.04698623635500712,-5.022931754171691,-4.414341961639809,0.008602278120550547,1,1.526957068253199,0.0,781.265,SAVE,"Spirit Airlines, Inc",1,1.0,781.265,1,0
4.51085950651685,-0.006455285,2.458867337694523,0.614963503649635,0.052714061832169826,-4.876694382828461,-5.027734640241326,0.012608633708505484,1,0.5100519395365987,0.0,187.331,ROLL,RBC Bearings INC,1,1.0,187.331,1,1
4.532599493153256,-0.059933232,2.487302371298934,0.5171232876712328,0.0582018927444795,-5.22827352281511,-5.065754593317335,0.016246056782334387,0,1.3199178853112832,0.0,8.822000000000001,AUXL,AUXILIUM PHARMACEUTICALS INC ,0,1.0,8.822000000000001,1,0
4.584967478670572,0.006311125999999999,2.437905430466608,0.6047904191616766,0.04388185654008439,-5.526900641158065,-5.1315879045139186,0.011091018685955394,1,1.1419480381305287,2.087064022423232,81.138,DWRI,DESIGN WITHIN REACH INC,1,1.0,81.138,0,1
5.472270673671475,0.004303735,2.5157534949698563,0.6360153256704981,0.055823127379478005,-5.062457434127541,-4.2892675458940595,0.01137562497133159,0,1.0147308046874077,0.0,2214.215,AWK,"American Water Works Company, Inc.",0,1.0,2214.215,1,0
5.278114659230517,-0.010175504,2.4840148002511233,0.6394984326018809,0.05659734060688715,-5.275730867875241,-5.093409311081286,0.009205591544493692,0,0.30533475956297473,0.0,523.149,SXE,"Southcross Energy Partners, L.P. ",0,1.0,523.149,0,1
4.343805421853684,0.00526409,2.3770644712349873,0.7105831533477321,0.04387135022973173,-4.9882118441383305,-4.191880427343154,0.006669630947087594,1,0.9043456728729526,0.0,508.466,RA,RAILAMERICA INC /DE ,1,1.0,508.466,1,0
6.492239835020471,-0.045701372999999997,2.420267482721056,0.5035714285714286,0.04792583280955374,-5.3572150077955225,-4.568757647431252,0.013984915147705845,1,0.8487795003117111,1.4938015821857216,148.224,BKRS,BAKERS FOOTWEAR GROUP INC,1,0.0,148.224,0,1
4.430816798843313,-0.001174115,2.4996082775130275,0.5491071428571429,0.061011040092969204,-5.604834105713208,-5.022912560263488,0.015107495642068565,0,1.5176539721330533,0.0,1.933,KNTA,KINTERA INC ,0,0.0,1.933,1,1
