I1,I2,I3,P(IPO),P(H),P(L),P(1Day),C1,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3
AATI,ADVANCED ANALOGIC TECHNOLOGIES INC,3674,10,9.5,8.5,11.86999989,122,1,3.43,0.029074273,40962052,10600000,51.345,470,12719,11560,301,690,62,117,139
ABPI,ACCENTIA BIOPHARMACEUTICALS INC,2834,8,10,8,7.25,259,0,-1.62,-0.013351642,28869196,2400000,25.936,791,21792,19585,510,1120,71,242,237
ACAD,ACADIA PHARMACEUTICALS INC,2834,7,14,12,6.699999809,90,1,-1.24,0.020715002,16845668,5000000,7.378,201,5262,4785,128,325,61,33,60
ACHN,ACHILLION PHARMACEUTICALS INC,2834,11.5,16,14,12.39000034,209,1,-0.91,0.020023137,14848637,4500000,8.526,328,8259,7574,177,509,80,59,110
ACLI,AMERICAN COMMERCIAL LINES INC. ,4492,21,21,19,56.59999847,80,1,0.07,-0.034894701,30741716,8250000,632.298,572,14830,13176,336,720,67,149,167
ACOM,Ancestry.com Inc. ,7379,13.5,14.5,12.5,14.19999981,94,1,0.06,-0.057556077,42402916,7407407,197.591,510,17999,13934,328,815,62,96,181
ACOR,ACORDA THERAPEUTICS INC,2836,6,13,11,6.71999979,128,1,-1.87,0.004105524,19047022,5500000,5.146,495,15758,13953,379,698,82,106,135
ACRX,ACELRX PHARMACEUTICALS INC,2834,5,14,12,4.550000191,91,0,-0.74,0.040619988,19371750,8000000,-,334,11226,10056,276,-1,55,120,122
ACTV,ACTIVE NETWORK INC,7372,15,18,16,15.89999962,100,1,-0.51,-0.029315926,52982501,11000000,279.6,620,14813,13463,335,917,58,124,234
ACW,ACCURIDE CORP,3714,9,19,17,0,106,1,1.49,-0.024925077,33622690,11000000,494.008,385,9134,8107,198,459,81,90,147
ADKU,"ADCARE HEALTH SYSTEMS, INC",-,-,-,-,-,-,-,-,-,-,-,-,332,7534,6747,169,263,51,65,74
ADLS,"Advanced Life Sciences Holdings, Inc.",2854,5,9,8,6,99,1,-398.1,0.015487112,17826801,7000000,0.32,253,5788,5200,138,385,29,41,70
ADZA,ADEZA BIOMEDICAL CORP,2835,16,16,14,19.70000076,126,1,0.27,0.019731083,15889841,3750000,26.499,206,5732,4963,141,259,21,43,80
AFFY,AFFYMAX INC,2834,25,24,22,33.88000107,140,1,-2.19,-0.006315605,14310258,3700000,0.074,416,10562,9835,231,726,81,118,138
AGAM,"AGA Medical Holdings, Inc. ",3845,14.5,16,15,14.60000038,488,1,0.18,0.023274686,50025520,13750000,166.896,624,18633,16471,380,909,98,256,172
AH,R1 RCM INC. ,7389,12,16,14,13.55,233,1,0.17,-0.085454588,90015707,10000000,510.192,586,18142,15782,413,649,98,92,155
AHII,"ANIMAL HEALTH HOLDINGS, INC.",5047,11,12,10,12.45,125,1,0.31,0.000254856,24333033,11800000,571.192,269,6456,5687,140,336,36,33,83
AIMC,Altra Industrial Motion Corp. ,3568,13.5,16,14,14.28999996,77,1,0.14,-0.006315605,23087591,10000000,363.465,391,11322,9589,247,603,72,134,133
AIRV,AIRVANA INC,3661,7,10,8,7.170000076,92,1,1.18,0.036830797,63369555,8300000,170.27,528,13516,12431,323,523,54,75,117
ALGT,Allegiant Travel CO ,4512,18,17,15,25.10000038,207,1,0.63,-0.012692392,19045933,5000000,132.5,512,11684,10189,267,429,52,78,91
ALIM,ALIMERA SCIENCES INC ,2834,11,17,15,11,174,1,-1.43,0.045262646,31051055,6550000,-,473,13801,12500,296,768,66,136,182
ALJ,"Alon USA Energy, Inc. ",2911,16,16,14,17.25,78,1,0.67,0.054040009,45201120,10200000,1707.564,591,14315,12418,353,675,57,73,88
ALLI,ALLION HEALTHCARE INC,8099,13,14,12,16.5,68,1,-0.86,0.00254564,11894956,4000000,64.606,279,6569,5889,149,308,29,93,97
ALNY,"ALNYLAM PHARMACEUTICALS, INC.",2834,6,8,6,6.010000229,91,1,-29.64,0.035827733,19283332,5000000,0.176,248,6533,5977,150,384,58,39,100
ALTU,Altus Pharmaceuticals Inc. ,2836,15,16,14,16.82,101,1,-1.39,-0.001746016,21001943,7000000,3.88,263,8601,7663,184,473,63,51,93
ALXA,Alexza Pharmaceuticals Inc. ,2834,8,12,10,85.09998322,76,1,-19.2,-0.003957877,22646381,5500000,2.23,259,7830,7033,156,453,36,85,119
AMBA,AMBARELLA INC ,3674,6,11,9,6.059999943,488,1,0.38,-0.0371155,25909462,6000000,94.739,499,13534,12580,337,777,91,88,237
AMIS,AMIS HOLDINGS INC,3674,20,20,18,20.10000038,40,1,-0.41,0.025763709,71864857,30000000,345.322,527,15006,0,334,809,46,181,167
AMRC,"Ameresco, Inc.",4931,10,16,14,10.17000008,113,1,0.5,0.035642376,40403276,8696820,428.516,641,18484,16496,436,898,125,164,184
ANAC,"Anacor Pharmaceuticals, Inc.",2834,5,18,16,5.090000153,75,1,-0.93,-0.015947286,26614227,12000000,18.643,403,12099,11038,281,626,103,102,162
ANFI,Amira Nature Foods Ltd. ,2000,10,15,13,9.579999924,42,1,0.22,-0.0371155,35665434,9000000,257.056,578,16953,15176,378,885,81,87,169
ANGI,"Angie's List, Inc. ",7379,13,13,11,16.26000023,84,1,-0.49,-0.034465128,55594944,8793408,59.039,511,16279,13883,348,776,71,99,110
ANGO,ANGIODYNAMICS INC,3841,11,14,12,12.5,83,0,0.13,0.020715002,11150000,1950000,38.434,329,7154,6296,175,384,47,47,94
AONE,"B456 SYSTEMS, INC. ",3690,13.5,9.5,8,20.29,412,1,-9.04,0.085096705,98180520,28180501,68.525,536,13374,12334,304,748,66,149,194
AOSL,ALPHA & OMEGA SEMICONDUCTOR Ltd,3674,18,20,16,17.70000076,29,1,-0.02,0.016442651,22087485,5085985,185.076,388,12190,11085,274,677,56,116,160
APEI,AMERICAN PUBLIC EDUCATION INC,8221,20,19,18,35.91999817,94,1,0.15,-0.012382727,17048772,4687500,40.045,400,10135,9114,233,545,47,69,98
APKT,ACME PACKET INC,3576,9.5,7.5,6.5,15.90999985,133,1,0,0.056474747,56707490,11474528,36.12,547,14728,13418,345,841,60,149,176
ARAY,ACCURAY INC CIK,3841,18,18,17,28.46999931,87,1,-0.64,0.016234824,52212444,16000000,52.897,471,12754,11459,308,601,65,85,103
ARBX,ARBINET Corp,7389,17.5,16,14,116,160,1,1.4,0.03686689,24181137,6535405,519.966,322,7738,6866,186,342,35,60,125
ARCL,"Archipelago Learning, Inc.",8200,16.5,17,15,18.77000046,78,1,0.04,0.056994918,25106719,6250000,32.068,535,17094,14915,347,927,78,84,157
ARCO,Arcos Dorados Holdings Inc. ,5812,17,15,13,21.2,20,1,0.51,0.004669618,209529412,73484164,3018.118,572,17353,15234,430,917,84,144,125
AREX,Approach Resources Inc,1311,12,16,14,12.59000015,119,1,1.08,-0.019999416,19629551,7666667,46.672,326,7912,6987,195,365,30,68,94
ARII,"American Railcar Industries, Inc. ",3743,21,18,16,22.95499992,38,1,0.09,0.029256701,19932773,8500000,608.16,657,18736,17202,438,923,111,268,262
ARP,"ARC DOCUMENT SOLUTIONS, INC.",7334,13,16,14,13.75,112,1,-,-0.006417682,42908654,13350000,-,507,12468,11248,289,701,79,140,142
ARST,ArcSight Inc ,7372,9,11,9,8.779999733,156,1,-0.01,-0.000806322,30941015,6861919,69.833,547,17361,14536,360,860,56,156,194
ARTE,ARTES MEDICAL INC,2834,6,14,12,7.67,222,1,-1.42,-0.004839838,15634343,4600000,-,280,8296,7337,178,514,37,77,106
ARUN,"ARUBA NETWORKS, INC.",3577,11,10,8,14.14999962,102,1,-0.16,0.028309953,75140978,8000000,72.503,407,12387,11330,280,613,50,83,97
ASPV,Aspreva Pharmaceuticals CORP,2834,11,15,13,14.79,39,1,-1,0.002719029,32948378,7200000,-,223,5079,4700,104,292,29,60,76
ATEC,"Alphatec Holdings, Inc. ",3841,9,12,11,8.979999542,116,1,-9.12,-0.022464022,34760223,9300000,74.005,1386,39669,35567,845,2268,309,760,701
ATHN,ATHENAHEALTH INC,7389,18,16,14,35.5,90,1,-0.29,0.034695124,31600399,6286819,75.813,453,11688,10445,281,630,40,75,135
ATRC,"AtriCure, Inc.",3841,12,14,12,14.07999992,107,1,-0.79,0.015487112,11901530,4000000,19.157,248,6630,5936,153,410,51,54,161
AUXL,AUXILIUM PHARMACEUTICALS INC ,2834,7.5,9,8,7.199999809,93,1,-59.08,-0.059933232,20587127,5500000,8.822,292,6340,5777,151,369,34,40,103
AVAV,AeroVironment Inc ,3721,17,16,14,23.93000031,117,1,0.62,0.002756461,18156483,6700000,139.357,328,9472,8162,209,380,59,59,81
AVEO,AVEO PHARMACEUTICALS INC,2834,9,15,13,8.989999771,86,1,-1.49,0.049754822,29644831,9000000,20.719,449,14954,13497,312,819,99,98,189
AVGO,Broadcom Ltd ,3674,15,15,13,16.18000031,350,1,0.35,0.059353423,235888203,43200000,1699,840,22107,19522,462,1442,128,324,315
AVNC,"MiddleBrook Pharmaceuticals, Inc.",2834,10,14,12,10,77,1,-16.37,0.08987183,22760415,6000000,-,267,6877,6211,154,450,35,51,85
AVR,AVENTINE RENEWABLE ENERGY HOLDINGS INC,2869,43,43,40,38.37,90,1,38.5,-0.01458234,35145253,9058450,935.468,476,13269,11798,302,459,102,75,155
AVRX,AVALON PHARMACEUTICALS INC,2834,10.5,12,10,9.489999771,149,0,-1.63,-0.024693937,8404958,2750000,1.9,270,6360,5780,146,356,63,38,72
AWAY,HOMEAWAY INC,7389,27,27,24,40.20999908,110,1,0.21,0.019299589,79829804,800000,167.884,780,26431,22079,560,1173,124,157,292
AWK,"American Water Works Company, Inc.",4941,21,26,24,20.60000038,238,1,-2.14,0.004303735,160000000,58000000,2214.215,783,21801,20113,498,1217,138,299,248
AYR,Aircastle LTD ,7359,23,23,21,26.60000038,67,1,-0.02,0.012708623,50082900,9090900,32.978,547,13486,12249,331,714,64,84,175
BAGL,EINSTEIN NOAH RESTAURANT GROUP INC,5812,18,21,19,18.23,59,1,-0.66,0.002046755,15690374,5000000,389.962,517,13075,11937,320,759,100,167,189
BAH,Booz Allen Hamilton Holding Corp,7373,17,19,17,19.25,149,1,-0.47,-0.012062165,120622350,14000000,4351.218,632,20576,18272,468,1006,115,162,166
BALT,Baltic Trading Ltd ,4412,14,16,14,13.96000004,147,1,-158.2,0.046380151,22465088,16300000,-,180,4348,4183,100,221,9,37,60
BARE,BARE ESCENTUALS INC,2844,22,17,15,27.14999962,91,1,0.28,0.050890499,87028093,16000000,259.295,1285,41864,36702,886,2569,285,575,594
