,I1,I2,C3_,I3_bins,Imputed_C2,Imputed_C7,C1,C4,T3_,T4_,T5_,S1_,S2_,S3_,C3_,C5_,C6_,Imputed_C7
0,AATI,ADVANCED ANALOGIC TECHNOLOGIES INC,1,5.0,1.0,51.345,0.0691290229630652,0.6545660752366399,0.24297670875567137,0.17655369936219398,0.2808216844250067,-0.10900727577227537,0.2091040965771297,-0.20679333644325898,1.0307764064044151,0.05931287741532263,1.1743197545301292,-0.28753956668450037
1,ABPI,ACCENTIA BIOPHARMACEUTICALS INC,0,5.0,0.0,25.936,1.1929603822610668,-0.6197765023908955,0.07914240294983231,0.23230693672503122,-0.12295305236272051,-1.3532830027394986,0.8063707717911864,-0.22544339983528242,-0.9701425001453321,2.295652778120417,-0.7533802028637858,-0.3035964387592783
2,ACAD,ACADIA PHARMACEUTICALS INC,0,5.0,1.0,7.377999999999999,-0.38501430288818805,0.4034795647105356,0.25065983393326524,0.13005413853638054,1.3436825784395112,2.5664608928643093,-1.005870201709663,-0.03994834702326281,-0.9701425001453321,-0.21077066233916847,-0.7533802028637858,-0.3153239145341505
3,ACHN,ACHILLION PHARMACEUTICALS INC,0,5.0,1.0,8.526,0.8727523285069907,0.38269809122975684,0.37626000360835976,-1.1218561550689052,1.3247493935657115,2.011680875179519,-0.5928102112547081,0.6346089205374605,-0.9701425001453321,-0.2517843616210125,-0.7533802028637858,-0.3145984515430117
4,ACLI,AMERICAN COMMERCIAL LINES INC. ,1,6.0,1.0,632.298,-0.5608472402555715,-1.26686301392617,-0.08467088151868274,-0.5063670598137613,-0.5253459296488626,-0.3437084037256791,0.48889265606035415,-0.08977588893629533,1.0307764064044151,-0.01234504154440251,0.7238344573118219,0.07958578269794137
5,ACOM,Ancestry.com Inc. ,1,10.0,1.0,197.59099999999998,-0.3200973568992914,-1.947540291114577,-1.8014032679357905,0.21148652451251707,-0.9878792866004776,-1.1813228985741961,-1.5195546845434462,-0.5138941600234352,1.0307764064044151,0.8331980591466892,-0.7533802028637858,-0.19512139542833237
6,ACOR,ACORDA THERAPEUTICS INC,0,5.0,1.0,5.146,0.14079980291205113,-0.09541751287913672,-0.13250295618504998,1.789798793332251,-1.1272544968364178,0.09276226139067215,-0.7835591172303101,-1.0380518518623105,-0.9701425001453321,-0.15659686901407666,-0.7533802028637858,-0.31673439658660846
7,ACRX,ACELRX PHARMACEUTICALS INC,0,5.0,0.0,500.45996229508194,-0.3685185049722316,1.0013634563574219,0.03190054335907833,2.5716260704677922,1.1655436102041428,-0.09337055054419145,0.6854204151344621,-0.22823201165369708,-0.9701425001453321,-0.8612436003985453,-0.7533802028637858,-0.003727472684703302
8,ACTV,ACTIVE NETWORK INC,0,10.0,1.0,279.6,-0.22772638067242382,-1.0992939582321668,0.24277155785380627,-1.1129876403742798,1.3636970990266624,-0.7856515747665512,-0.08997866913256848,1.5069388008140787,-0.9701425001453321,0.4931324102360718,-0.7533802028637858,-0.14329692291936058
9,ACW,ACCURIDE CORP,1,5.0,1.0,494.00800000000004,-0.14073937770096973,-0.967406506125753,-0.09906857264910442,-1.4483984859269714,-0.2846588091083862,1.739053329388853,0.4270841123052775,1.6114089029162426,1.0307764064044151,-0.4024962412154104,-0.7533802028637858,-0.007804702532529688
